pre-column-sv-r1	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.08ELRfJXun
pre-column-sv-r1	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.McyzIxjokQ
pre-column-sv-r2	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.SdUkbzR9BV
pre-column-sv-r2	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.eTkwahcujM
pre-control-web-copy-flawed	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.shF44sFp1M
pre-control-web-copy-flawed	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.YTCEAQnokw
pre-opinion-en_GB-r1	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.CpHd374Nh1
pre-opinion-en_GB-r1	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.NZ7Jjn3Pnv
pre-opinion-en_GB-r2	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.llH5C1QaVj
pre-opinion-en_GB-r2	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.SNtOHvneG6
pre-control-opinion-clean	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.v45tdtB3du
pre-control-opinion-clean	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.P1uzneNTVv
pre-control-opinion-flawed	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.IWkwZxiPyx
pre-control-opinion-flawed	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.xemUlDxKgz
pre-control-article-clean	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.vZH9BQyRif
pre-control-article-clean	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.BOZMLqtlqM
pre-control-web-copy-clean	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.asabWTZGbZ
pre-control-web-copy-clean	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.R73YdJVsku
pre-control-case-study-clean	a	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.uzlCvTqHMq
pre-control-case-study-clean	b	/var/folders/cs/vgp_x_353zd9frkjpysp7zdw0000gn/T/tmp.VNyxvnNJ8J
